student_number	first_name	last_name	email	phone	avatar	birthday
1	Evelyn	Ranking	branking0@tinypic.com	+1 214 157 7400	https://robohash.org/iurepariatursunt.png?size=50x50&set=set1	01/01/1992
2	Aranka	Settle	jsettle1@lycos.com	+386 436 648 0209	https://robohash.org/autaliquiddolorem.png?size=50x50&set=set1	03/02/1993
3	Floris	Coetzee	kcoetzee2@nyu.edu	+46 199 930 0005	https://robohash.org/idvoluptaslaudantium.png?size=50x50&set=set1	10/18/1990
4	Hector	Peotz	speotz3@digg.com	+372 866 727 0635	https://robohash.org/animietreprehenderit.png?size=50x50&set=set1	04/05/1991
5	Martina	Hedman	nhedman4@shop-pro.jp	+86 196 968 9362	https://robohash.org/autanimidistinctio.png?size=50x50&set=set1	07/25/1992
6	Maurits	Karel	ikarel5@nasa.gov	+30 178 681 2546	https://robohash.org/facereisteenim.png?size=50x50&set=set1	06/12/1994
7	Rahima	Harman	mharman6@unc.edu	+505 133 776 3871	https://robohash.org/sitsedaccusantium.png?size=50x50&set=set1	08/14/1987
8	Sandra	Blakeney	gblakeney7@google.nl	+1 469 411 5105	https://robohash.org/doloremqueutsit.png?size=50x50&set=set1	11/11/1985
9	Wietske	Buzzing	lbuzzing8@mac.com	+850 952 967 1553	https://robohash.org/incidunteaet.png?size=50x50&set=set1	03/19/1969
10	Storm	Nolton	anolton9@usnews.com	+46 811 996 0871	https://robohash.org/estillumcorrupti.png?size=50x50&set=set1	10/01/1992
